Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
158;1534;6473;159;1536;6483;0;0,063;0,063;0;rr:setEParameter_eType_TO_EClassifier;0,017;rr:setEAttribute_eType_TO_EClassifier;0,011;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1244;rr:unsetEReferenceRefEOppositeToEReference;2627;rr:deleteEAnnotation_IN_EModelElement;1604,625;4165;rr:unsetEReferenceRefEOppositeToEReference;15493;rr:deleteEAnnotation_IN_EModelElement;8500,489;4179;17695;1;0;3;0;0;1022;4;4;0;3;6;170;3;0;11;0;0;0
159;1536;6483;160;1542;6510;0;0,078;0,078;0;rr:setEParameter_eType_TO_EClassifier;0,016;rr:createEOperation_IN_EClass;0,011;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1245;rr:unsetEReferenceRefEOppositeToEReference;2632;rr:deleteEAnnotation_IN_EModelElement;1608,523;4181;rr:unsetEReferenceRefEOppositeToEReference;15538;rr:deleteEAnnotation_IN_EModelElement;8533,716;4203;17790;3;0;9;0;0;1023;12;12;0;8;7;169;4;0;13;0;0;0
160;1542;6510;161;1540;6500;0;0,312;0,857;0;rr:setEEnumLiteralName;0,062;rr:moveEAttribute_FROM_EClass_eStructuralFeatures_TO_EClass_EClass;0,025;0,032;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:collect_EAttribute;0,001;1247;rr:unsetEReferenceRefEOppositeToEReference;2636;rr:deleteEAnnotation_IN_EModelElement;1610,972;4184;rr:unsetEReferenceRefEOppositeToEReference;15554;rr:deleteEAnnotation_IN_EModelElement;8541,216;4204;17801;0;1;2;5;1;1025;9;9;0;8;34;142;0;4;16;30;20;35
161;1540;6500;162;1546;6527;0;0,094;0,062;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:createEAttributeInEClass;0,009;0,016;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:createEOperation_IN_EClass;0,002;1247;rr:unsetEReferenceRefEOppositeToEReference;2638;rr:deleteEAnnotation_IN_EModelElement;1612,023;4187;rr:unsetEReferenceRefEOppositeToEReference;15570;rr:deleteEAnnotation_IN_EModelElement;8550,92;4213;17830;3;0;9;0;0;1025;12;12;0;8;7;169;4;0;13;0;0;0
162;1546;6527;163;1548;6537;0;0,312;0,798;0;rr:setEEnumLiteralName;0,063;rr:rename_EPackage;0,023;0,031;0;rr:collect_EAttribute;0,016;rr:push_down_EAttribute;0,001;1250;rr:unsetEReferenceRefEOppositeToEReference;2645;rr:deleteEAnnotation_IN_EModelElement;1616,619;4192;rr:unsetEReferenceRefEOppositeToEReference;15604;rr:deleteEAnnotation_IN_EModelElement;8568,71;4218;17855;1;0;5;2;1;1028;9;9;0;7;34;142;3;1;25;16;20;31
163;1548;6537;164;1525;6452;0;0,468;1,278;0;rr:changeEReferenceType;0,093;rr:setEStringToStringMapEntryValue;0,032;0,188;0;rr:changeBidirectionalReferenceType;0,078;rr:inlineSuperEClass;0,005;1235;rr:unsetEReferenceRefEOppositeToEReference;2638;rr:deleteEAnnotation_IN_EModelElement;1601,676;4229;rr:unsetEReferenceRefEOppositeToEReference;15625;rr:deleteEAnnotation_IN_EModelElement;8588,858;4270;18049;1;16;5;38;2;1013;62;62;0;36;40;136;3;16;40;73;2;37
164;1525;6452;165;1525;6452;0;0,015;0,015;0;rr:setEStringToStringMapEntryValue;0,015;rr:setEEnumLiteralValue;0,007;0;0;rr:setEStringToStringMapEntryValue;0;rr:setEStringToStringMapEntryValue;0;1236;rr:unsetEReferenceRefEOppositeToEReference;2612;rr:deleteEAnnotation_IN_EModelElement;1595,705;4136;rr:unsetEReferenceRefEOppositeToEReference;15418;rr:deleteEAnnotation_IN_EModelElement;8454,852;4143;17586;0;0;0;0;1;1014;1;1;0;1;2;174;0;0;0;0;2;2
165;1525;6452;166;1529;6472;0;0,078;0,078;0;rr:setEParameter_eType_TO_EClassifier;0,016;rr:setEOperation_eType_TO_EClassifier;0,011;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1236;rr:unsetEReferenceRefEOppositeToEReference;2614;rr:deleteEAnnotation_IN_EModelElement;1597,915;4147;rr:unsetEReferenceRefEOppositeToEReference;15445;rr:deleteEAnnotation_IN_EModelElement;8478,312;4163;17669;2;0;6;0;0;1014;8;8;0;5;7;169;4;0;13;0;0;0
166;1529;6472;167;1525;6452;0;0,093;0,078;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:deleteEReferenceInEClass;0,011;0;0;rr:deleteEReferenceInEClass;0;rr:deleteEReferenceInEClass;0;1236;rr:unsetEReferenceRefEOppositeToEReference;2614;rr:deleteEAnnotation_IN_EModelElement;1597,812;4147;rr:unsetEReferenceRefEOppositeToEReference;15445;rr:deleteEAnnotation_IN_EModelElement;8477,932;4163;17669;0;2;0;6;0;1014;8;8;0;5;7;169;0;4;0;13;0;0
167;1525;6452;168;1525;6452;0,016;0,016;0,015;0;rr:setEReferenceChangeable;0,015;rr:setEAttributeChangeable;0,007;0;0;rr:setEReferenceChangeable;0;rr:setEReferenceChangeable;0;1236;rr:unsetEReferenceRefEOppositeToEReference;2612;rr:deleteEAnnotation_IN_EModelElement;1595,705;4136;rr:unsetEReferenceRefEOppositeToEReference;15418;rr:deleteEAnnotation_IN_EModelElement;8454,852;4143;17586;0;0;0;0;1;1014;1;1;0;1;2;174;0;0;0;0;2;2
