Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
168;1525;6452;169;1524;6450;0,001;0,051;0,017;0,017;rr:deleteEEnumLiteral_IN_EEnum;0,017;rr:deleteEEnumLiteral_IN_EEnum;0,017;0;0;rr:deleteEEnumLiteral_IN_EEnum;0;rr:deleteEEnumLiteral_IN_EEnum;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4145;17599;0;1;0;2;0;1013;3;3;0;1;1;178;0;1;0;2;0;0;
169;1524;6450;170;1528;6470;0;0,060;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,008;0;rr:createEOperation_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4160;17662;2;0;6;0;0;1013;8;8;0;5;7;172;4;0;13;0;0;0;
170;1528;6470;171;1516;6406;0,001;0,055;0,017;0;rr:setEOperation_eType_TO_EClassifier;0,017;rr:deleteEOperation_IN_EClass;0,002;0,002;0;rr:setEOperation_eType_TO_EClassifier;0,001;rr:deleteEAttribute_IN_EClass;0,000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4175;17701;0;6;0;18;0;1009;24;24;0;16;7;172;0;4;0;13;0;0;
171;1516;6406;172;1512;6386;0;0,054;0,017;0;rr:setEOperation_eType_TO_EClassifier;0,017;rr:deleteEOperation_IN_EClass;0,002;0,001;0;rr:setEOperation_eType_TO_EClassifier;0,001;rr:deleteEAttribute_IN_EClass;0,000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4130;17516;0;2;0;6;0;1007;8;8;0;5;7;172;0;4;0;13;0;0;
172;1512;6386;173;1516;6406;0,001;0,062;0,017;0;rr:setEParameter_eType_TO_EClassifier;0,017;rr:setEAttribute_eType_TO_EClassifier;0,003;0,008;0;rr:setEParameter_eType_TO_EClassifier;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4129;17511;2;0;6;0;0;1007;8;8;0;6;6;173;3;0;11;0;0;0;
173;1516;6406;174;1526;6482;0,001;0,204;0,053;0;rr:pull_up_EAttribute;0,018;rr:extractSuperEClass;0,002;0,183;0;rr:push_down_EOperation;0,108;rr:move_EAttribute_to_neighbour;0,007;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4214;17893;7;0;25;8;0;1009;40;40;0;38;28;151;14;1;53;18;0;13;
174;1526;6482;175;1528;6494;0,001;0,059;0,017;0;rr:setEParameter_eType_TO_EClassifier;0,017;rr:setEAttribute_eType_TO_EClassifier;0,003;0,007;0;rr:setEParameter_eType_TO_EClassifier;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4157;17697;1;0;3;0;0;1016;4;4;0;3;6;173;3;0;11;0;0;0;
175;1528;6494;176;1532;6511;0;0,060;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,008;0;rr:createEOperation_IN_EClass;0,007;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4172;17759;2;0;6;0;0;1017;8;8;0;5;7;172;4;0;13;0;0;0;
176;1532;6511;177;1538;6552;0;0,062;0,017;0;rr:createEReferenceInEClass;0,017;rr:createBidirectionalReference;0,002;0,010;0;rr:createEReferenceInEClass;0,008;rr:createOppositeReference;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4200;17884;3;0;13;0;0;1019;16;16;0;12;9;170;5;0;24;0;0;0;
177;1538;6552;178;1541;6556;0;0,056;0,018;0;rr:generalizeEReferenceLowerBound;0,018;rr:setEAttributeLowerBound;0,002;0,004;0;rr:generalizeEReferenceLowerBound;0,002;rr:createEStringToStringMapEntry_IN_EAnnotation;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4194;17862;3;0;4;0;1;1022;8;8;0;5;8;171;2;0;3;0;6;6;
178;1541;6556;179;1543;6563;0,001;0,056;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,004;0,004;0;rr:setEParameter_eType_TO_EClassifier;0,004;rr:createEOperation_IN_EClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4195;17862;1;0;3;0;0;1025;4;4;0;2;4;175;1;0;5;0;0;0;
179;1543;6563;180;1546;6567;0;0,056;0,017;0;rr:createEAnnotation_IN_EModelElement;0,017;rr:createEStringToStringMapEntry_IN_EAnnotation;0,009;0,003;0,001;rr:createEAnnotation_IN_EModelElement;0,002;rr:createEStringToStringMapEntry_IN_EAnnotation;0,002;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4205;17888;3;0;4;0;0;1026;7;7;0;3;2;177;2;0;3;0;0;0;
