Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.217.ecore;1825;7815;gmfgen_1.218.ecore;1837;7851;-1;1,498;19,247;0;rr:setEEnumLiteralLiteral;0,281;rr:moveEEnumLiteralRefELiteralsToEEnum;0,123;0;0;rr:setEReferenceDefaultValueLiteral;0;rr:setEReferenceDefaultValueLiteral;0;1480;rr:unsetEReferenceRefEOppositeToEReference;3174;rr:createEAnnotationInEModelElement;1931,090;4977;rr:unsetEReferenceRefEOppositeToEReference;18269;rr:createEAnnotationInEModelElement;10240,500;5362;22672;10;0;22;0;0;1215;32;32;0;12;156;0;27;25;137;136;73;137;
gmfgen_1.218.ecore;1837;7851;gmfgen_1.219.ecore;1834;7845;-1;1,263;18,538;0;rr:setEDataTypeSerializable;0,266;rr:setEAnnotationSource;0,119;0,015;0;rr:deleteEOperationInEClass;0,015;rr:moveEEnumLiteralRefELiteralsToEEnum;0,000;1482;rr:unsetEReferenceRefEOppositeToEReference;3183;rr:createEAnnotationInEModelElement;1934,564;4996;rr:unsetEReferenceRefEOppositeToEReference;18314;rr:createEAnnotationInEModelElement;10268,885;5386;22754;5;8;12;18;2;1217;45;45;0;20;156;0;27;25;137;136;73;137;
gmfgen_1.219.ecore;1834;7845;gmfgen_1.220.ecore;1840;7873;-1;1,170;18,209;0;rr:createOppositeReference;0,281;rr:changeEAttributeType;0,117;0,062;0;rr:setEReferenceDefaultValueLiteral;0,062;rr:extractSuperEClass;0,000;1487;rr:unsetEReferenceRefEOppositeToEReference;3188;rr:deleteEAnnotationInEModelElement;1940,545;4979;rr:unsetEReferenceRefEOppositeToEReference;18313;rr:deleteEAnnotationInEModelElement;10261,782;5362;22683;3;0;9;0;1;1222;13;13;0;8;156;0;27;25;137;136;73;137;
gmfgen_1.220.ecore;1840;7873;gmfgen_1.221.ecore;1844;7893;-1;1,278;19,406;0;rr:moveEEnumLiteralRefELiteralsToEEnum;0,281;rr:moveEClassRefEClassifiersToEPackage;0,124;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1490;rr:unsetEReferenceRefEOppositeToEReference;3196;rr:createEAnnotationInEModelElement;1945,090;4983;rr:unsetEReferenceRefEOppositeToEReference;18355;rr:createEAnnotationInEModelElement;10281,128;5370;22722;2;0;6;0;0;1225;8;8;0;3;156;0;27;25;137;136;73;137;
gmfgen_1.221.ecore;1844;7893;gmfgen_1.222.ecore;1838;7858;-1;1,232;19,552;0,015;rr:moveEEnumRefEClassifiersToEPackage;0,296;rr:deleteBidirectionalReference;0,125;0,078;0;rr:deleteEOperationInEClass;0,047;rr:pull_up_EAttribute;0,000;1486;rr:unsetEReferenceRefEOppositeToEReference;3196;rr:createEAnnotationInEModelElement;1943,583;5001;rr:unsetEReferenceRefEOppositeToEReference;18379;rr:createEAnnotationInEModelElement;10303,237;5394;22799;4;6;9;18;1;1221;38;36;2;13;156;0;27;25;137;136;73;137;
gmfgen_1.222.ecore;1838;7858;gmfgen_1.223.ecore;1844;7874;-1;1,217;18,719;0;rr:setEReferenceDefaultValueLiteral;0,281;rr:createBidirectionalReference;0,120;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1490;rr:unsetEReferenceRefEOppositeToEReference;3200;rr:createEAnnotationInEModelElement;1943,577;4988;rr:unsetEReferenceRefEOppositeToEReference;18351;rr:createEAnnotationInEModelElement;10270,500;5373;22704;4;0;9;0;0;1225;13;11;2;4;156;0;27;25;137;136;73;137;
gmfgen_1.223.ecore;1844;7874;gmfgen_1.224.ecore;1848;7894;-1;1,188;17,956;0;rr:setEClassAbstractNOT;0,281;rr:moveEEnumLiteralRefELiteralsToEEnum;0,115;0;0;rr:setEReferenceDefaultValueLiteral;0;rr:setEReferenceDefaultValueLiteral;0;1494;rr:unsetEReferenceRefEOppositeToEReference;3204;rr:createEAnnotationInEModelElement;1949,244;4995;rr:unsetEReferenceRefEOppositeToEReference;18369;rr:createEAnnotationInEModelElement;10289,141;5382;22736;2;0;6;0;0;1229;8;8;0;3;156;0;27;25;137;136;73;137;
gmfgen_1.224.ecore;1848;7894;gmfgen_1.225.ecore;1852;7914;-1;1,169;19,120;0;rr:setEAttributeDerived;0,281;rr:extractSuperEClass;0,123;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1496;rr:unsetEReferenceRefEOppositeToEReference;3210;rr:createEAnnotationInEModelElement;1952,808;5001;rr:unsetEReferenceRefEOppositeToEReference;18407;rr:createEAnnotationInEModelElement;10309,679;5392;22782;2;0;6;0;0;1231;8;8;0;3;156;0;27;25;137;136;73;137;
gmfgen_1.225.ecore;1852;7914;gmfgen_1.226.ecore;1855;7922;-1;1,185;18,529;0;rr:createEDataTypeInEPackage;0,281;rr:moveEDataTypeRefEClassifiersToEPackage;0,119;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1500;rr:unsetEReferenceRefEOppositeToEReference;3216;rr:createEAnnotationInEModelElement;1957,256;5023;rr:unsetEReferenceRefEOppositeToEReference;18441;rr:createEAnnotationInEModelElement;10334,205;5407;22840;2;0;8;1;3;1233;14;14;0;14;156;0;27;25;137;136;73;137;
gmfgen_1.226.ecore;1855;7922;gmfgen_1.227.ecore;1859;7935;-1;1,264;18,682;0;rr:setEAttributeVolatile;0,280;rr:setEClassInterface;0,120;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1504;rr:unsetEReferenceRefEOppositeToEReference;3222;rr:createEAnnotationInEModelElement;1959,756;5033;rr:unsetEReferenceRefEOppositeToEReference;18456;rr:createEAnnotationInEModelElement;10337,199;5410;22843;2;0;6;0;0;1235;8;8;0;3;156;0;27;25;137;136;73;137;
