Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.228.ecore;1864;7977;gmfgen_1.229.ecore;1864;7977;0;0,016;0,016;0,016;rr:setEPackageNsURI;0,016;rr:setEPackageNsURI;0,016;0;0;rr:setEPackageNsURI;0;rr:setEPackageNsURI;0;1780;rr:setEPackageNsURI;1780;rr:setEPackageNsURI;1780;6377;rr:setEPackageNsURI;6377;rr:setEPackageNsURI;6377;5423;22934;0;0;0;0;1;1241;1;0;1;0;1;155;0;0;0;0;1;1;
gmfgen_1.229.ecore;1864;7977;gmfgen_1.230.ecore;1862;7968;0;0,328;0,218;0;rr:setEEnumName;0,016;rr:deleteEOperationInEClass;0,007;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1773;rr:moveEReferenceRefEStructuralFeaturesToEClass;2347;rr:pull_up_EAttribute;2004,625;5956;rr:setEStringToStringMapEntryValue;16106;rr:pull_up_EAttribute;9925,094;5430;22960;0;1;2;5;3;1240;11;0;11;0;32;124;0;3;14;23;21;33;
gmfgen_1.230.ecore;1862;7968;gmfgen_1.231.ecore;1870;8005;0;0,031;0,031;0;rr:setEOperationRefETypeToEClassifier;0,016;rr:createEAttributeAsiDInEClass;0,008;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;2053;rr:createEOperationInEClass;2358;rr:createEAttributeAsiDInEClass;2215;14570;rr:createEOperationInEClass;16151;rr:createEAttributeAsiDInEClass;15418,250;5441;23002;4;0;12;0;0;1240;16;0;16;0;4;152;3;0;9;0;0;0;
gmfgen_1.231.ecore;1870;8005;gmfgen_1.232.ecore;1870;8005;0;0,094;0,094;0;rr:setEParameterName;0,016;rr:setEEnumName;0,005;0;0;rr:setEEnumName;0;rr:setEEnumName;0;1783;rr:setEAttributeName;2083;rr:setEParameterName;1914,263;5982;rr:setEAttributeName;14552;rr:setEClassName;7301,789;5438;22999;0;0;0;0;1;1244;1;0;1;0;19;137;0;0;0;0;19;19;
gmfgen_1.232.ecore;1870;8005;gmfgen_1.233.ecore;1864;7989;0;0,032;0,032;0;rr:deleteEStringToStringMapEntryInEAnnotation;0,016;rr:deleteEOperationInEClass;0,006;0;0;rr:deleteEStringToStringMapEntryInEAnnotation;0;rr:deleteEStringToStringMapEntryInEAnnotation;0;2049;rr:deleteEOperationInEClass;3241;rr:deleteEAnnotationInEModelElement;2378,800;5957;rr:deleteEStringToStringMapEntryInEAnnotation;18614;rr:deleteEAnnotationInEModelElement;13762,400;5440;23011;0;4;0;9;0;1240;13;0;13;0;5;151;0;4;0;9;0;0;
gmfgen_1.233.ecore;1864;7989;gmfgen_1.234.ecore;1868;8007;0;0,047;0,031;0;rr:createEStringToStringMapEntryInEAnnotation;0,016;rr:createEOperationInEClass;0,008;0;0;rr:createEAnnotationInEModelElement;0;rr:createEAnnotationInEModelElement;0;2049;rr:createEOperationInEClass;3240;rr:createEAnnotationInEModelElement;2444,750;5953;rr:createEStringToStringMapEntryInEAnnotation;18614;rr:createEAnnotationInEModelElement;13483,750;5434;22999;3;0;6;0;0;1240;9;0;9;0;4;152;3;0;6;0;0;0;
gmfgen_1.234.ecore;1868;8007;gmfgen_1.235.ecore;1872;8020;0;0,016;0,016;0;rr:setEEnumLiteralValue;0,016;rr:createEOperationInEClass;0,003;0;0;rr:setEEnumLiteralValue;0;rr:setEEnumLiteralValue;0;1972;rr:setEEnumLiteralValue;2272;rr:setEStringToStringMapEntryValue;2102;5987;rr:setEStringToStringMapEntryValue;14908;rr:createEParameterInEOperation;11300,200;5445;23041;2;0;6;0;1;1243;9;0;9;0;5;151;2;0;6;0;2;2;
gmfgen_1.235.ecore;1872;8020;gmfgen_1.236.ecore;1882;8054;0;0,031;0,031;0;rr:setEOperationRefETypeToEClassifier;0,016;rr:createEParameterInEOperation;0,010;0;0;rr:createEOperationInEClass;0;rr:createEOperationInEClass;0;2066;rr:createEOperationInEClass;2133;rr:createEParameterInEOperation;2100,667;14650;rr:createEOperationInEClass;14974;rr:createEParameterInEOperation;14836;5472;23132;5;0;15;0;0;1245;20;0;20;0;3;153;2;0;6;0;0;0;
gmfgen_1.236.ecore;1882;8054;gmfgen_1.237.ecore;1884;8061;0;0,016;0,016;0;rr:setEOperationRefETypeToEClassifier;0,016;rr:createEOperationInEClass;0,008;0;0;rr:createEOperationInEClass;0;rr:createEOperationInEClass;0;2069;rr:createEOperationInEClass;2108;rr:setEOperationRefETypeToEClassifier;2088,500;14658;rr:createEOperationInEClass;14894;rr:setEOperationRefETypeToEClassifier;14776;5473;23132;1;0;3;0;0;1250;4;0;4;0;2;154;1;0;3;0;0;0;
gmfgen_1.237.ecore;1884;8061;gmfgen_1.238.ecore;1886;8071;0;0,031;0,031;0;rr:createEAttributeInEClass;0,016;rr:setEOperationRefETypeToEClassifier;0,010;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;2110;rr:setEOperationRefETypeToEClassifier;2362;rr:createEAttributeAsiDInEClass;2278;14906;rr:setEOperationRefETypeToEClassifier;16213;rr:createEAttributeAsiDInEClass;15777,333;5478;23152;1;0;3;0;0;1251;4;0;4;0;3;153;2;0;7;0;0;0;
